ID,category,average_cost
285,Baby,18.34
286,Baby,0.0
287,Baby,16.79
288,Baby,82.86
289,Baby,71.67
290,Beauty & Personal Care,12.99
291,Beauty & Personal Care,8.99
292,Beauty & Personal Care,43.05
293,Beauty & Personal Care,20.23
294,Beauty & Personal Care,18.05
295,Beauty & Personal Care,16.73
296,Beauty & Personal Care,8.89
297,Beauty & Personal Care,0.69
298,Beauty & Personal Care,11.12
299,Beauty & Personal Care,28.84
300,Beauty & Personal Care,29.45
301,Beauty & Personal Care,6.99
302,Beauty & Personal Care,97.98
303,Beauty & Personal Care,53.0
304,Beauty & Personal Care,47.28
305,Beauty & Personal Care,8.29
306,Beauty & Personal Care,33.49
307,Beauty & Personal Care,12.27
308,Beauty & Personal Care,8.99
309,Beauty & Personal Care,13.64
310,Beauty & Personal Care,22.22
311,Beauty & Personal Care,17.51
312,Beauty & Personal Care,8.46
313,Beauty & Personal Care,55.99
314,Beauty & Personal Care,25.37
315,Beauty & Personal Care,15.89
316,Beauty & Personal Care,19.96
317,Beauty & Personal Care,16.0
318,Beauty & Personal Care,13.99
319,Beauty & Personal Care,25.0
320,Books,10.26
321,Books,11.26
322,Books,9.98
323,Books,10.4
324,Books,9.57
325,Books,24.99
326,Books,12.99
327,Books,9.42
328,Books,11.6
329,Books,11.98
330,Books,23.99
331,Books,11.44
332,Books,11.99
333,Books,11.99
334,Books,3.0
335,Books,26.99
336,Books,11.4
337,Books,27.49
338,Books,5.06
339,Books,3.99
340,Books,7.74
341,Books,3.99
342,Books,11.8
343,Books,4.31
344,Books,11.91
345,Books,9.36
346,Books,9.31
347,Books,10.84
348,Books,23.99
349,Books,12.39
350,Camera & Photo Products,53.47
351,Camera & Photo Products,45.99
352,Camera & Photo Products,35.99
353,Camera & Photo Products,57.99
354,Camera & Photo Products,169.98
355,Camera & Photo Products,51.47
356,Camera & Photo Products,107.0
357,Camera & Photo Products,69.88
358,Camera & Photo Products,38.89
359,Camera & Photo Products,19.98
360,Camera & Photo Products,50.49
361,Camera & Photo Products,398.75
362,Camera & Photo Products,62.49
363,Camera & Photo Products,30.49
364,Camera & Photo Products,169.98
365,Camera & Photo Products,59.99
366,Camera & Photo Products,54.99
367,Camera & Photo Products,29.99
368,Camera & Photo Products,18.0
369,Camera & Photo Products,96.99
370,Camera & Photo Products,35.85
